trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.19999999999999948, 'e': 0.2952301669240142}",20,8,-15.286732858655636,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.19999999999999948, 'e': 0.2893842179390506}",25,11,27.291546833356023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.19999999999999948, 'e': 0.2836540264997704}",20,5,0.09411979556473349,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.19999999999999948, 'e': 0.27803730045319414}",25,2,-43.79801959726819,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.19999999999999948, 'e': 0.2725317930340126}",25,16,-35.990666919180555,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.19999999999999948, 'e': 0.26713530196585034}",20,3,-15.716662590910998,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.19999999999999948, 'e': 0.261845668580326}",20,15,6.71074468855692,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.19999999999999948, 'e': 0.2566607769535559}",30,24,10.236398403188144,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.19999999999999948, 'e': 0.25157855305975646}",20,0,13.314369157441057,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.19999999999999948, 'e': 0.24659696394160643}",20,14,-29.582821983147856,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.19999999999999948, 'e': 0.24171401689703645}",25,12,23.972053562255397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.19999999999999948, 'e': 0.23692775868212176}",20,10,6.518077678581972,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.19999999999999948, 'e': 0.23223627472975883}",20,11,15.138208822269567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.19999999999999948, 'e': 0.22763768838381274}",35,20,25.784924055304263,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.19999999999999948, 'e': 0.22313016014842982}",20,4,9.017176863892425,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.19999999999999948, 'e': 0.21871188695221475}",25,3,7.841097057215718,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.19999999999999948, 'e': 0.21438110142697794}",25,3,8.062674847989905,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.19999999999999948, 'e': 0.21013607120076472}",20,12,17.178808116565524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
